Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Y/P,Team2Y/P,Team1DY/P,Team2DY/P,Team1ToP,Team2ToP,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1PYM,Team2PYM,Team1RYM,Team2RYM,Team1YM,Team2YM,Team1Won
2024,2024-11-17,KAN,BUF,1,21,30.0,-9,9.0,-1,1.0,90.0,83.5,4.98,5.15,5.15,4.98,1557,2043.0,2,0.0,15,0.0,17,31.0,78,104.0,-81,81.0,-26,26.0,15,-15.0,0
2024,2024-11-17,NYJ,IND,0,27,28.0,-1,1.0,1,-1.0,114.7,106.5,4.87,4.96,4.96,4.87,1543,2057.0,3,2.0,22,31.0,20,35.0,91,91.0,-79,79.0,0,0.0,-9,9.0,0
2024,2024-11-17,NWE,LAR,0,22,28.0,-6,6.0,-2,2.0,100.6,142.7,5.31,7.88,7.88,5.31,2240,1360.0,3,0.0,25,0.0,30,24.0,125,107.0,-38,38.0,18,-18.0,25,-25.0,0
2024,2024-11-17,GNB,CHI,1,20,19.0,1,-1.0,-1,1.0,113.0,95.0,8.51,5.75,5.75,8.51,1419,2181.0,1,3.0,1,19.0,25,34.0,106,179.0,48,-48.0,-73,73.0,-18,18.0,1
2024,2024-11-17,ATL,DEN,1,6,38.0,-32,32.0,-1,1.0,68.9,145.0,4.04,6.67,6.67,4.04,1795,1805.0,4,1.0,21,12.0,21,26.0,50,105.0,-119,119.0,-55,55.0,9,-9.0,0
2024,2024-11-17,CHI,GNB,0,19,20.0,-1,1.0,1,-1.0,95.0,113.0,5.75,8.51,8.51,5.75,2181,1419.0,3,1.0,19,1.0,34,25.0,179,106.0,-48,48.0,73,-73.0,18,-18.0,0
2024,2024-11-17,BUF,KAN,0,30,21.0,9,-9.0,1,-1.0,83.5,90.0,5.15,4.98,4.98,5.15,2043,1557.0,0,2.0,0,15.0,31,17.0,104,78.0,81,-81.0,26,-26.0,-15,15.0,1
2024,2024-11-17,JAX,DET,1,6,52.0,-46,46.0,-1,1.0,56.4,158.3,3.62,8.49,8.49,3.62,1254,2346.0,1,0.0,9,0.0,17,43.0,41,196.0,-320,320.0,-155,155.0,9,-9.0,0
2024,2024-11-17,MIA,LVR,0,34,19.0,15,-15.0,1,-1.0,127.8,93.4,5.52,5.29,5.29,5.52,1992,1608.0,2,3.0,17,14.0,26,16.0,82,60.0,3,-3.0,22,-22.0,3,-3.0,1
2024,2024-11-17,SEA,SFO,1,20,17.0,3,-3.0,0,0.0,82.4,85.3,4.9,4.86,4.86,4.9,1595,2005.0,4,2.0,26,13.0,23,27.0,94,131.0,49,-49.0,-37,37.0,13,-13.0,1
2024,2024-11-17,MIN,TEN,1,23,13.0,10,-10.0,0,0.0,107.0,84.7,4.75,5.35,5.35,4.75,1951,1649.0,2,5.0,10,34.0,33,19.0,82,33.0,-25,25.0,49,-49.0,-24,24.0,1
2024,2024-11-17,LAC,CIN,0,34,27.0,7,-7.0,-1,1.0,94.3,98.4,6.9,5.79,5.79,6.9,1552,2048.0,2,3.0,17,14.0,25,25.0,155,110.0,-62,62.0,45,-45.0,3,-3.0,1
2024,2024-11-17,IND,NYJ,1,28,27.0,1,-1.0,-1,1.0,106.5,114.7,4.96,4.87,4.87,4.96,2057,1543.0,2,3.0,31,22.0,35,20.0,91,91.0,79,-79.0,0,0.0,9,-9.0,1
2024,2024-11-17,CIN,LAC,1,27,34.0,-7,7.0,1,-1.0,98.4,94.3,5.79,6.9,6.9,5.79,2048,1552.0,3,2.0,14,17.0,25,25.0,110,155.0,62,-62.0,-45,45.0,-3,3.0,0
2024,2024-11-17,DET,JAX,0,52,6.0,46,-46.0,1,-1.0,158.3,56.4,8.49,3.62,3.62,8.49,2346,1254.0,0,1.0,0,9.0,43,17.0,196,41.0,320,-320.0,155,-155.0,-9,9.0,1
2024,2024-11-17,LAR,NWE,1,28,22.0,6,-6.0,2,-2.0,142.7,100.6,7.88,5.31,5.31,7.88,1360,2240.0,0,3.0,0,25.0,24,30.0,107,125.0,38,-38.0,-18,18.0,-25,25.0,1
2024,2024-11-17,DEN,ATL,0,38,6.0,32,-32.0,1,-1.0,145.0,68.9,6.67,4.04,4.04,6.67,1805,1795.0,1,4.0,12,21.0,26,21.0,105,50.0,119,-119.0,55,-55.0,-9,9.0,1
2024,2024-11-17,CLE,NOR,1,14,35.0,-21,21.0,2,-2.0,104.5,112.1,6.33,8.16,8.16,6.33,1762,1838.0,3,1.0,18,7.0,20,28.0,66,214.0,118,-118.0,-148,148.0,11,-11.0,0
2024,2024-11-17,TEN,MIN,0,13,23.0,-10,10.0,0,0.0,84.7,107.0,5.35,4.75,4.75,5.35,1649,1951.0,5,2.0,34,10.0,19,33.0,33,82.0,25,-25.0,-49,49.0,24,-24.0,0
2024,2024-11-17,LVR,MIA,1,19,34.0,-15,15.0,-1,1.0,93.4,127.8,5.29,5.52,5.52,5.29,1608,1992.0,3,2.0,14,17.0,16,26.0,60,82.0,-3,3.0,-22,22.0,-3,3.0,0
2024,2024-11-17,SFO,SEA,0,17,20.0,-3,3.0,0,0.0,85.3,82.4,4.86,4.9,4.9,4.86,2005,1595.0,2,4.0,13,26.0,27,23.0,131,94.0,-49,49.0,37,-37.0,-13,13.0,0
2024,2024-11-14,WAS,PHI,1,18,26.0,-8,8.0,-1,1.0,81.6,88.5,4.19,6.2,6.2,4.19,1616,1984.0,3,2.0,20,15.0,28,40.0,93,228.0,-35,35.0,-135,135.0,5,-5.0,0
2024,2024-11-14,PHI,WAS,0,26,18.0,8,-8.0,1,-1.0,88.5,81.6,6.2,4.19,4.19,6.2,1984,1616.0,2,3.0,15,20.0,40,28.0,228,93.0,35,-35.0,135,-135.0,-5,5.0,1
2024,2024-11-11,LAR,MIA,0,15,23.0,-8,8.0,0,0.0,77.5,89.4,4.81,4.49,4.49,4.81,1812,1788.0,4,3.0,36,36.0,18,22.0,70,67.0,86,-86.0,3,-3.0,0,0.0,0
2024,2024-11-11,MIA,LAR,1,23,15.0,8,-8.0,0,0.0,89.4,77.5,4.49,4.81,4.81,4.49,1788,1812.0,3,4.0,36,36.0,22,18.0,67,70.0,-86,86.0,-3,3.0,0,0.0,1
2024,2024-11-10,NYJ,ARI,1,6,31.0,-25,25.0,-1,1.0,72.4,126.7,3.76,7.12,7.12,3.76,1638,1962.0,3,1.0,23,7.0,17,32.0,79,147.0,-131,131.0,-68,68.0,16,-16.0,0
2024,2024-11-10,PIT,WAS,1,28,27.0,1,-1.0,-1,1.0,90.4,68.5,4.16,4.1,4.1,4.16,2171,1429.0,3,3.0,23,20.0,43,22.0,140,60.0,-10,10.0,80,-80.0,3,-3.0,1
2024,2024-11-10,IND,BUF,0,20,30.0,-10,10.0,-2,2.0,79.7,60.6,5.92,5.93,5.93,5.92,1672,1928.0,4,2.0,32,0.0,22,31.0,121,135.0,-40,40.0,-14,14.0,32,-32.0,0
2024,2024-11-10,CAR,NYG,0,20,17.0,3,-3.0,2,-2.0,86.4,50.5,5.28,4.68,4.68,5.28,1658,2069.0,1,2.0,8,15.0,32,34.0,188,167.0,-57,57.0,21,-21.0,-7,7.0,1
2024,2024-11-10,TAM,SFO,0,20,23.0,-3,3.0,1,-1.0,82.0,119.3,3.71,6.77,6.77,3.71,1692,1908.0,2,3.0,11,15.0,27,22.0,110,75.0,-233,233.0,35,-35.0,-4,4.0,0
2024,2024-11-10,DEN,KAN,1,14,16.0,-2,2.0,0,0.0,115.3,92.0,4.73,4.62,4.62,4.73,1599,2001.0,2,4.0,33,23.0,23,19.0,78,57.0,-61,61.0,21,-21.0,10,-10.0,0
2024,2024-11-10,MIN,JAX,1,12,7.0,5,-5.0,0,0.0,48.2,38.3,4.9,3.33,3.33,4.9,2539,1061.0,1,3.0,8,24.0,43,18.0,169,56.0,146,-146.0,113,-113.0,-16,16.0,1
2024,2024-11-10,HOU,DET,0,23,26.0,-3,3.0,3,-3.0,64.2,59.7,3.82,5.56,5.56,3.82,1948,1652.0,4,0.0,40,0.0,28,32.0,56,105.0,-48,48.0,-49,49.0,40,-40.0,0
2024,2024-11-10,KAN,DEN,0,16,14.0,2,-2.0,0,0.0,92.0,115.3,4.62,4.73,4.73,4.62,2001,1599.0,4,2.0,23,33.0,19,23.0,57,78.0,61,-61.0,-21,21.0,-10,10.0,1
2024,2024-11-10,NOR,ATL,0,20,17.0,3,-3.0,1,-1.0,126.9,75.1,7.02,6.41,6.41,7.02,1493,2107.0,0,3.0,0,19.0,27,32.0,96,181.0,-18,18.0,-85,85.0,-19,19.0,1
2024,2024-11-10,PHI,DAL,1,34,6.0,28,-28.0,3,-3.0,109.5,49.1,5.35,2.61,2.61,5.35,2041,1559.0,5,3.0,46,17.0,38,24.0,187,97.0,112,-112.0,90,-90.0,29,-29.0,1
2024,2024-11-10,JAX,MIN,0,7,12.0,-5,5.0,0,0.0,38.3,48.2,3.33,4.9,4.9,3.33,1061,2539.0,3,1.0,24,8.0,18,43.0,56,169.0,-146,146.0,-113,113.0,16,-16.0,0
2024,2024-11-10,ATL,NOR,1,17,20.0,-3,3.0,-1,1.0,75.1,126.9,6.41,7.02,7.02,6.41,2107,1493.0,3,0.0,19,0.0,32,27.0,181,96.0,18,-18.0,85,-85.0,19,-19.0,0
2024,2024-11-10,TEN,LAC,1,17,27.0,-10,10.0,0,0.0,127.4,123.1,5.67,5.42,5.42,5.67,1741,1859.0,7,0.0,18,0.0,21,39.0,132,145.0,-7,7.0,-13,13.0,18,-18.0,0
2024,2024-11-10,NWE,CHI,1,19,3.0,16,-16.0,-1,1.0,79.4,63.2,5.38,2.41,2.41,5.38,1948,1652.0,1,9.0,0,51.0,35,20.0,144,73.0,115,-115.0,71,-71.0,-51,51.0,1
2024,2024-11-10,WAS,PIT,0,27,28.0,-1,1.0,1,-1.0,68.5,90.4,4.1,4.16,4.16,4.1,1429,2171.0,3,3.0,20,23.0,22,43.0,60,140.0,10,-10.0,-80,80.0,-3,3.0,0
2024,2024-11-10,DAL,PHI,0,6,34.0,-28,28.0,-3,3.0,49.1,109.5,2.61,5.35,5.35,2.61,1559,2041.0,3,5.0,17,46.0,24,38.0,97,187.0,-112,112.0,-90,90.0,-29,29.0,0
2024,2024-11-10,DET,HOU,1,26,23.0,3,-3.0,-3,3.0,59.7,64.2,5.56,3.82,3.82,5.56,1652,1948.0,0,4.0,0,40.0,32,28.0,105,56.0,48,-48.0,49,-49.0,-40,40.0,1
2024,2024-11-10,LAC,TEN,0,27,17.0,10,-10.0,0,0.0,123.1,127.4,5.42,5.67,5.67,5.42,1859,1741.0,0,7.0,0,18.0,39,21.0,145,132.0,7,-7.0,13,-13.0,-18,18.0,1
2024,2024-11-10,NYG,CAR,1,17,20.0,-3,3.0,-2,2.0,50.5,86.4,4.68,5.28,5.28,4.68,2069,1658.0,2,1.0,15,8.0,34,32.0,167,188.0,57,-57.0,-21,21.0,7,-7.0,0
2024,2024-11-10,ARI,NYJ,0,31,6.0,25,-25.0,1,-1.0,126.7,72.4,7.12,3.76,3.76,7.12,1962,1638.0,1,3.0,7,23.0,32,17.0,147,79.0,131,-131.0,68,-68.0,-16,16.0,1
2024,2024-11-10,BUF,IND,1,30,20.0,10,-10.0,2,-2.0,60.6,79.7,5.93,5.92,5.92,5.93,1928,1672.0,2,4.0,0,32.0,31,22.0,135,121.0,40,-40.0,14,-14.0,-32,32.0,1
