,ID,Team1Won,Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1RYM,Team2RYM,Team1PYM,Team2PYM,Team1YM,Team2YM
91,1315,False,2022,2022-10-16,ARI,SEA,0,9,19,-10,10,-1,1,67.6,77.4,6,5,51,37,28,30,144,136,8,-8,11,-11,19,-19
92,1303,False,2022,2022-10-16,MIA,MIN,1,16,24,-8,8,-3,3,88.8,101.5,6,3,33,19,20,17,73,78,-5,5,229,-229,224,-224
93,1291,False,2022,2022-10-17,DEN,LAC,0,16,19,-3,3,0,0,86.6,65.2,4,2,28,14,23,24,98,73,25,-25,-64,64,-39,39
94,1289,True,2022,2022-10-20,ARI,NOR,1,42,34,8,-8,3,-3,100.4,93.0,2,0,15,0,29,22,137,85,52,-52,-220,220,-168,168
95,1265,True,2022,2022-10-23,CAR,TAM,1,21,3,18,-18,0,0,126.5,80.0,1,1,7,14,27,16,173,46,127,-127,-106,106,21,-21
96,1267,False,2022,2022-10-23,ATL,CIN,0,17,35,-18,18,0,0,118.7,136.0,3,3,17,22,29,21,107,78,29,-29,-352,352,-323,323
97,1271,False,2022,2022-10-23,DEN,NYJ,1,9,16,-7,7,-1,1,56.9,70.2,1,3,6,16,28,24,105,155,-50,50,114,-114,64,-64
98,1269,True,2022,2022-10-23,DAL,DET,1,24,6,18,-18,4,-4,113.2,65.9,2,5,16,33,32,25,139,117,22,-22,-4,4,18,-18
99,1273,False,2022,2022-10-23,JAX,NYG,1,17,23,-6,6,-1,1,73.1,93.7,0,1,0,2,21,39,142,236,-94,94,110,-110,16,-16
100,1283,False,2022,2022-10-23,LAC,SEA,1,23,37,-14,14,0,0,84.8,102.5,3,2,17,19,15,34,53,213,-160,160,85,-85,-75,75
101,1277,False,2022,2022-10-23,IND,TEN,0,10,19,-9,9,-2,2,76.2,80.4,3,2,16,16,17,35,65,138,-73,73,111,-111,38,-38
102,1287,False,2022,2022-10-23,GNB,WAS,0,21,23,-2,2,0,0,99.0,85.2,0,1,0,3,12,38,38,166,-128,128,-4,4,-132,132
103,1285,True,2022,2022-10-23,KAN,SFO,0,44,23,21,-21,1,-1,125.1,82.1,1,5,6,26,21,21,112,101,11,-11,74,-74,85,-85
104,1275,True,2022,2022-10-23,MIA,PIT,1,16,10,6,-6,3,-3,92.7,65.2,0,2,0,11,27,23,111,95,16,-16,15,-15,31,-31
105,1279,False,2022,2022-10-23,HOU,LVR,0,20,38,-18,18,-1,1,95.8,115.4,1,1,6,5,23,27,108,164,-56,56,60,-60,4,-4
106,1281,False,2022,2022-10-23,CLE,BAL,0,20,23,-3,3,-1,1,106.5,73.4,5,3,35,26,24,44,113,160,-47,47,129,-129,82,-82
107,1263,True,2022,2022-10-24,CHI,NWE,0,33,14,19,-19,3,-3,85.2,53.3,4,1,32,8,45,19,243,70,173,-173,-43,43,130,-130
108,1261,True,2022,2022-10-27,BAL,TAM,0,27,22,5,-5,1,-1,104.9,87.8,3,3,16,20,33,15,231,44,187,-187,-83,83,104,-104
109,1237,True,2022,2022-10-30,BUF,GNB,1,27,17,10,-10,-1,1,75.1,89.6,2,2,2,13,27,31,153,208,-55,55,26,-26,-29,29
110,1239,False,2022,2022-10-30,IND,WAS,1,16,17,-1,1,-1,1,100.1,97.0,2,2,12,13,29,28,135,96,39,-39,-77,77,-38,38
111,1241,False,2022,2022-10-30,CHI,DAL,0,29,49,-20,20,0,0,119.4,113.3,4,1,25,8,43,29,240,200,40,-40,-111,111,-71,71
112,1243,False,2022,2022-10-30,DET,MIA,1,27,31,-4,4,1,-1,108.1,137.2,1,2,10,13,19,26,82,107,-25,25,-58,58,-83,83
113,1245,False,2022,2022-10-30,HOU,TEN,1,10,17,-7,7,1,-1,67.6,29.2,3,3,34,15,18,45,43,314,-271,271,78,-78,-193,193
114,1249,False,2022,2022-10-30,ARI,MIN,0,26,34,-8,8,-2,2,95.5,100.2,4,3,29,24,22,29,78,173,-95,95,89,-89,-6,6
115,1251,True,2022,2022-10-30,NOR,LVR,1,24,0,24,-24,1,-1,116.5,56.0,0,4,0,28,32,13,136,38,98,-98,86,-86,184,-184
116,1235,True,2022,2022-10-30,ATL,CAR,1,37,34,3,-3,-1,1,105.2,79.5,2,1,14,8,37,36,167,169,-2,2,-70,70,-72,72
