Rk,Team,Date,Season,Pts,PtsO,Rate,TO,Y/P,DY/P,ToP,Rate,Att,Att,Day,G#,Week,Away,Opp,Result,Pts,PtsO,PtDif,PC,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Rush_Att,Rush_Yds,Rush_Y/A,TD,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,Cmp,Att,Cmp%,Yds,TD,Sk,Yds,Int,Rate,Opp_Rush_Att,Opp_Rush_Yds,Y/A,TD,Rush,Pass,Tot,TO
867,CAR,2023-09-24,2023,27,37,88.4,1,5.04,5.99,29:32,85.3,14,33,Sun,3,3,@,SEA,L 27-37,27,37,-10,64,34,58,24,58.6,334,2,0,3.4,0.0,88.4,3,27,4.92,5.8,5.48,6.45,6.13,9.8,14,44,3.1,1,378,75,5.04,71,5.99,0,29:32,3:35,23,36,63.9,279,1,2,17,1,85.3,33,146,4.4,2,-102,55,-47,1
868,SEA,2023-09-24,2023,37,27,87.3,-1,5.99,5.04,30:28,86.4,33,14,Sun,3,3,,CAR,W 37-27,37,27,10,64,23,36,13,63.9,279,1,1,2.8,2.8,87.3,2,17,5.26,7.8,7.34,7.06,6.68,12.1,33,146,4.4,2,425,71,5.99,75,5.04,1,30:28,3:35,34,58,58.6,334,2,3,27,0,86.4,14,44,3.1,1,102,-55,47,-1
869,BUF,2023-09-24,2023,37,3,79.9,4,5.94,4.51,34:39,35.1,33,13,Sun,3,3,@,WAS,W 37-3,37,3,34,40,20,32,12,62.5,218,1,1,3.1,3.1,79.9,0,0,0.00,6.8,6.81,6.03,6.03,10.9,33,168,5.1,2,386,65,5.94,51,4.51,1,34:39,2:54,19,29,65.5,125,0,9,45,4,35.1,13,105,8.1,0,63,93,156,4
870,WAS,2023-09-24,2023,3,37,41.5,-4,4.51,5.94,25:21,79.9,13,33,Sun,3,3,,BUF,L 3-37,3,37,-34,40,19,29,10,65.5,125,0,4,0.0,13.8,41.5,9,45,23.68,4.3,3.29,-1.90,-1.45,6.6,13,105,8.1,0,230,51,4.51,65,5.94,5,25:21,2:54,20,32,62.5,218,1,0,0,1,79.9,33,168,5.1,2,-63,-93,-156,-4
871,NYG,2023-09-21,2023,12,30,62.3,-1,3.26,5.65,20:50,110.2,11,39,Thu,3,3,@,SFO,L 12-30,12,30,-18,42,22,33,11,66.7,121,0,1,0.0,3.0,62.3,2,16,5.71,3.7,3.46,2.30,2.17,5.5,11,29,2.6,1,150,46,3.26,78,5.65,1,20:50,3:09,25,37,67.6,300,2,2,10,0,110.2,39,141,3.6,1,-112,-179,-291,-1
872,SFO,2023-09-21,2023,30,12,111.3,1,5.65,3.26,39:10,60.3,39,11,Thu,3,3,,NYG,W 30-12,30,12,18,42,25,37,12,67.6,300,2,0,5.4,0.0,111.3,2,10,5.13,8.1,7.69,9.19,8.72,12.0,39,141,3.6,1,441,78,5.65,46,3.26,0,39:10,3:09,22,33,66.7,121,0,2,16,1,60.3,11,29,2.6,1,112,179,291,1
873,CAR,2023-09-18,2023,17,20,87.1,0,4.27,4.61,27:11,63.7,19,33,Mon,2,2,,NOR,L 17-20,17,20,-3,37,22,33,11,66.7,139,1,0,3.0,0.0,87.1,4,14,10.81,4.2,3.76,4.82,4.30,6.3,19,100,5.3,0,239,56,4.27,74,4.61,1,27:11,3:07,22,37,59.5,207,0,4,29,1,63.7,33,134,4.1,2,-34,-68,-102,0
874,NOR,2023-09-18,2023,20,17,66.9,0,4.61,4.27,32:49,85.3,33,19,Mon,2,2,@,CAR,W 20-17,20,17,3,37,22,37,15,59.5,207,0,1,0.0,2.7,66.9,4,29,9.76,5.6,5.05,4.38,3.95,9.4,33,134,4.1,2,341,74,4.61,56,4.27,1,32:49,3:07,22,33,66.7,139,1,4,14,0,85.3,19,100,5.3,0,34,68,102,0
875,CLE,2023-09-18,2023,22,26,70.3,-2,5.04,4.81,35:28,68.8,35,21,Mon,2,2,@,PIT,L 22-26,22,26,-4,48,22,40,18,55.0,210,1,1,2.5,2.5,70.3,6,25,13.04,5.3,4.57,4.63,4.02,9.5,35,198,5.7,1,408,81,5.04,53,4.81,4,35:28,3:28,15,30,50.0,200,1,2,22,1,68.8,21,55,2.6,0,143,10,153,-2
876,PIT,2023-09-18,2023,26,22,71.8,2,4.81,5.04,24:32,67.7,21,35,Mon,2,2,,CLE,W 26-22,26,22,4,48,15,30,15,50.0,200,1,1,3.3,3.3,71.8,2,22,6.25,6.7,6.25,5.83,5.47,13.3,21,55,2.6,0,255,53,4.81,81,5.04,2,24:32,3:28,22,40,55.0,210,1,6,25,1,67.7,35,198,5.7,1,-143,-10,-153,2
877,ARI,2023-09-17,2023,28,31,99.9,1,6.32,6.55,30:37,102.5,29,27,Sun,2,2,,NYG,L 28-31,28,31,-3,59,21,31,10,67.7,228,1,0,3.2,0.0,99.9,0,0,0.00,7.4,7.35,8.00,8.00,10.9,29,151,5.2,2,379,60,6.32,67,6.55,0,30:37,3:11,26,37,70.3,312,2,3,9,1,102.5,27,127,4.7,2,24,-84,-60,1
878,NYG,2023-09-17,2023,31,28,103.5,-1,6.55,6.32,29:23,99.9,27,29,Sun,2,2,@,ARI,W 31-28,31,28,3,59,26,37,11,70.3,312,2,1,5.4,2.7,103.5,3,9,7.50,8.4,7.80,8.30,7.68,12.0,27,127,4.7,2,439,67,6.55,60,6.32,1,29:23,3:11,21,31,67.7,228,1,0,0,0,99.9,29,151,5.2,2,-24,84,60,-1
879,DAL,2023-09-17,2023,30,10,112.2,4,4.60,4.67,42:15,35.2,44,16,Sun,2,2,,NYJ,W 30-10,30,10,20,40,31,38,7,81.6,248,2,0,5.3,0.0,112.2,1,7,2.56,6.5,6.36,7.58,7.38,8.0,44,134,3.0,0,382,83,4.60,46,4.67,0,42:15,2:54,12,27,44.4,151,1,3,19,3,35.2,16,64,4.0,0,70,97,167,4
880,NYJ,2023-09-17,2023,10,30,38.1,-4,4.67,4.60,17:45,111.4,16,44,Sun,2,2,@,DAL,L 10-30,10,30,-20,40,12,27,15,44.4,151,1,3,3.7,11.1,38.1,3,19,10.00,5.6,5.03,1.33,1.20,12.6,16,64,4.0,0,215,46,4.67,83,4.60,4,17:45,2:54,31,38,81.6,248,2,1,7,0,111.4,44,134,3.0,0,-70,-97,-167,-4
881,DEN,2023-09-17,2023,33,35,107.3,-2,6.44,5.88,26:15,105.3,23,23,Sun,2,2,,WAS,L 33-35,33,35,-2,68,18,32,14,56.3,277,3,1,9.4,3.1,107.3,7,31,17.95,8.7,7.10,9.13,7.49,15.4,23,122,5.3,1,399,62,6.44,66,5.88,2,26:15,3:19,27,39,69.2,266,2,4,33,0,105.3,23,122,5.3,2,0,11,11,-2
882,WAS,2023-09-17,2023,35,33,108.8,2,5.88,6.44,33:45,103.3,23,23,Sun,2,2,@,DEN,W 35-33,35,33,2,68,27,39,12,69.2,266,2,0,5.1,0.0,108.8,4,33,9.30,6.8,6.19,7.85,7.12,9.9,23,122,5.3,2,388,66,5.88,62,6.44,0,33:45,3:19,18,32,56.3,277,3,7,31,1,103.3,23,122,5.3,1,0,-11,-11,2
883,DET,2023-09-17,2023,31,37,121.8,-3,6.53,5.87,30:48,114.5,27,25,Sun,2,2,,SEA,L 31-37 (OT),31,37,-6,68,28,35,7,80.0,316,3,1,8.6,2.9,121.8,2,7,5.41,9.0,8.54,9.46,8.95,11.3,27,102,3.8,1,418,64,6.53,67,5.87,3,30:48,3:05,32,41,78.0,311,2,1,17,0,114.5,25,82,3.3,2,20,5,25,-3
884,SEA,2023-09-17,2023,37,31,116.3,3,5.87,6.53,33:31,121.0,25,27,Sun,2,2,@,DET,W 37-31 (OT),37,31,6,68,32,41,9,78.0,311,2,0,4.9,0.0,116.3,1,17,2.38,7.6,7.40,8.56,8.36,9.7,25,82,3.3,2,393,67,5.87,64,6.53,0,33:31,3:05,28,35,80.0,316,3,2,7,1,121.0,27,102,3.8,1,-20,-5,-25,3
885,IND,2023-09-17,2023,31,20,104.0,1,6.30,4.92,25:02,99.3,23,26,Sun,2,2,@,HOU,W 31-20,31,20,11,51,25,33,8,75.8,227,1,0,3.0,0.0,104.0,0,0,0.00,6.9,6.88,7.48,7.48,9.1,23,126,5.5,3,353,56,6.30,79,4.92,0,25:02,3:02,30,47,63.8,337,2,6,47,0,99.3,26,52,2.0,0,74,-110,-36,1
886,HOU,2023-09-17,2023,20,31,103.5,-1,4.92,6.30,34:58,104.0,26,23,Sun,2,2,,IND,L 20-31,20,31,-11,51,30,47,17,63.8,337,2,0,4.3,0.0,103.5,6,47,11.32,7.2,6.36,8.02,7.11,11.2,26,52,2.0,0,389,79,4.92,56,6.30,1,34:58,3:02,25,33,75.8,227,1,0,0,0,104.0,23,126,5.5,3,-74,110,36,-1
887,JAX,2023-09-17,2023,9,17,69.0,2,4.23,6.23,28:11,97.4,18,22,Sun,2,2,,KAN,L 9-17,9,17,-8,26,23,42,19,54.8,197,0,0,0.0,0.0,69.0,4,18,8.70,4.7,4.28,4.69,4.28,8.6,18,74,4.1,0,271,64,4.23,64,6.23,1,28:11,3:08,29,41,70.7,298,2,1,7,1,97.4,22,101,4.6,0,-27,-101,-128,2
888,KAN,2023-09-17,2023,17,9,98.1,-2,6.23,4.23,31:49,67.3,22,18,Sun,2,2,@,JAX,W 17-9,17,9,8,26,29,41,12,70.7,298,2,1,4.9,2.4,98.1,1,7,2.38,7.3,7.10,7.15,6.98,10.3,22,101,4.6,0,399,64,6.23,64,4.23,3,31:49,3:08,23,42,54.8,197,0,4,18,0,67.3,18,74,4.1,0,27,101,128,-2
889,MIA,2023-09-17,2023,24,17,92.2,1,6.38,4.06,30:19,81.4,30,25,Sun,2,2,@,NWE,W 24-17,24,17,7,41,21,30,9,70.0,244,1,1,3.3,3.3,92.2,1,5,3.23,8.1,7.87,7.30,7.06,11.6,30,145,4.8,2,389,61,6.38,71,4.06,1,30:19,3:00,31,42,73.8,200,1,4,31,1,81.4,25,88,3.5,1,57,44,101,1
890,NWE,2023-09-17,2023,17,24,84.5,-1,4.06,6.38,29:41,91.5,25,30,Sun,2,2,,MIA,L 17-24,17,24,-7,41,31,42,11,73.8,200,1,1,2.4,2.4,84.5,4,31,8.70,4.8,4.35,4.17,3.80,6.5,25,88,3.5,1,288,71,4.06,61,6.38,2,29:41,3:00,21,30,70.0,244,1,1,5,1,91.5,30,145,4.8,2,-57,-44,-101,-1
891,TEN,2023-09-17,2023,27,24,123.3,0,5.41,5.26,36:49,101.8,34,21,Sun,2,2,,LAC,W 27-24 (OT),27,24,3,51,20,24,4,83.3,200,1,0,4.2,0.0,123.3,5,46,17.24,8.3,6.90,9.17,7.59,10.0,34,141,4.1,2,341,63,5.41,65,5.26,0,36:49,3:02,27,41,65.9,281,2,3,24,0,101.8,21,61,2.9,0,80,-81,-1,0
892,LAC,2023-09-17,2023,24,27,104.2,0,5.26,5.41,28:09,115.3,21,34,Sun,2,2,@,TEN,L 24-27 (OT),24,27,-3,51,27,41,14,65.9,281,2,0,4.9,0.0,104.2,3,24,6.82,6.9,6.39,7.83,7.30,10.4,21,61,2.9,0,342,65,5.26,63,5.41,0,28:09,3:02,20,24,83.3,200,1,5,46,0,115.3,34,141,4.1,2,-80,81,1,0
893,LAR,2023-09-17,2023,23,30,67.8,-2,4.95,6.76,33:11,93.1,22,28,Sun,2,2,,SFO,L 23-30,23,30,-7,53,34,55,21,61.8,297,1,2,1.8,3.6,67.8,1,10,1.79,5.4,5.30,4.13,4.05,8.7,22,89,4.0,1,386,78,4.95,54,6.76,2,33:11,3:13,17,25,68.0,206,0,1,0,0,93.1,28,159,5.7,3,-70,91,21,-2
894,SFO,2023-09-17,2023,30,23,93.1,2,6.76,4.95,26:49,67.0,28,22,Sun,2,2,@,LAR,W 30-23,30,23,7,53,17,25,8,68.0,206,0,0,0.0,0.0,93.1,1,0,3.85,8.2,7.92,8.24,7.92,12.1,28,159,5.7,3,365,54,6.76,78,4.95,0,26:49,3:13,34,55,61.8,297,1,1,10,2,67.0,22,89,4.0,1,70,-91,-21,2
895,CHI,2023-09-17,2023,17,27,61.1,-2,4.63,6.43,24:04,114.5,16,34,Sun,2,2,@,TAM,L 17-27,17,27,-10,44,16,29,13,55.2,169,1,2,3.4,6.9,61.1,6,42,17.14,5.8,4.83,3.41,2.83,10.6,16,67,4.2,1,236,51,4.63,68,6.43,2,24:04,2:58,26,34,76.5,317,1,0,0,0,114.5,34,120,3.5,1,-53,-148,-201,-2
896,TAM,2023-09-17,2023,27,17,114.5,2,6.43,4.63,35:56,55.1,34,16,Sun,2,2,,CHI,W 27-17,27,17,10,44,26,34,8,76.5,317,1,0,2.9,0.0,114.5,0,0,0.00,9.3,9.32,9.91,9.91,12.2,34,120,3.5,1,437,68,6.43,51,4.63,0,35:56,2:58,16,29,55.2,169,1,6,42,2,55.1,16,67,4.2,1,53,148,201,2
897,ATL,2023-09-17,2023,25,24,79.8,-1,5.72,4.77,36:15,111.7,45,21,Sun,2,2,,GNB,W 25-24,25,24,1,49,19,32,13,59.4,235,1,1,3.1,3.1,79.8,1,2,3.03,7.3,7.12,6.56,6.36,12.4,45,211,4.7,1,446,78,5.72,47,4.77,1,36:15,3:13,14,25,56.0,140,3,1,11,0,111.7,21,84,4.0,0,127,95,222,-1
898,GNB,2023-09-17,2023,24,25,113.5,1,4.77,5.72,23:45,79.6,21,45,Sun,2,2,@,ATL,L 24-25,24,25,-1,49,14,25,11,56.0,140,3,0,12.0,0.0,113.5,1,11,3.85,5.6,5.38,8.00,7.69,10.0,21,84,4.0,0,224,47,4.77,78,5.72,0,23:45,3:13,19,32,59.4,235,1,1,2,1,79.6,45,211,4.7,1,-127,-95,-222,1
899,BUF,2023-09-17,2023,38,10,124.5,3,6.08,6.15,40:04,68.9,35,15,Sun,2,2,,LVR,W 38-10,38,10,28,48,31,37,6,83.8,267,3,0,8.1,0.0,124.5,2,7,5.13,7.2,6.85,8.84,8.38,8.6,35,183,5.2,2,450,74,6.08,39,6.15,0,40:04,2:49,16,24,66.7,185,1,0,0,2,68.9,15,55,3.7,0,128,82,210,3
900,LVR,2023-09-17,2023,10,38,68.9,-3,6.15,6.08,19:56,123.8,15,35,Sun,2,2,@,BUF,L 10-38,10,38,-28,48,16,24,8,66.7,185,1,2,4.2,8.3,68.9,0,0,0.00,7.7,7.71,4.79,4.79,11.6,15,55,3.7,0,240,39,6.15,74,6.08,3,19:56,2:49,31,37,83.8,267,3,2,7,0,123.8,35,183,5.2,2,-128,-82,-210,-3
901,CIN,2023-09-17,2023,24,27,85.6,-1,4.95,5.93,26:56,112.8,15,37,Sun,2,2,,BAL,L 24-27,24,27,-3,51,27,41,14,65.9,216,2,1,4.9,2.4,85.6,1,6,2.38,5.3,5.14,5.15,5.02,8.0,15,66,4.4,0,282,57,4.95,70,5.93,1,26:56,3:01,24,33,72.7,237,2,0,0,0,112.8,37,178,4.8,1,-112,-21,-133,-1
902,BAL,2023-09-17,2023,27,24,112.8,1,5.93,4.95,33:04,85.0,37,15,Sun,2,2,@,CIN,W 27-24,27,24,3,51,24,33,9,72.7,237,2,0,6.1,0.0,112.8,0,0,0.00,7.2,7.18,8.39,8.39,9.9,37,178,4.8,1,415,70,5.93,57,4.95,0,33:04,3:01,27,41,65.9,216,2,1,6,1,85.0,15,66,4.4,0,112,21,133,1
903,MIN,2023-09-14,2023,28,34,125.6,-3,6.80,5.73,20:32,94.0,9,48,Thu,2,2,@,PHI,L 28-34,28,34,-6,62,31,44,13,70.5,346,4,0,9.1,0.0,125.6,2,18,4.35,7.9,7.52,9.68,9.26,11.2,9,28,3.1,0,374,55,6.80,75,5.73,4,20:32,3:04,18,23,78.3,171,1,4,22,1,94.0,48,259,5.4,3,-231,175,-56,-3
904,PHI,2023-09-14,2023,34,28,98.0,3,5.73,6.80,39:28,123.9,48,9,Thu,2,2,,MIN,W 34-28,34,28,6,62,18,23,5,78.3,171,1,1,4.3,4.3,98.0,4,22,14.81,7.4,6.33,6.35,5.41,9.5,48,259,5.4,3,430,75,5.73,55,6.80,1,39:28,3:04,31,44,70.5,346,4,2,18,0,123.9,9,28,3.1,0,231,-175,56,3
905,BUF,2023-09-11,2023,16,22,62.7,-3,4.62,5.45,33:08,73.5,22,28,Mon,1,1,@,NYJ,L 16-22 (OT),16,22,-6,38,29,41,12,70.7,217,1,3,2.4,7.3,62.7,5,19,10.87,5.3,4.72,2.49,2.22,7.5,22,97,4.4,0,314,68,4.62,53,5.45,4,33:08,2:58,14,22,63.6,117,1,3,23,1,73.5,28,172,6.1,0,-75,100,25,-3
906,NYJ,2023-09-11,2023,22,16,77.8,3,5.45,4.62,27:50,60.7,28,22,Mon,1,1,,BUF,W 22-16 (OT),22,16,6,38,14,22,8,63.6,117,1,1,4.5,4.5,77.8,3,23,12.00,5.3,4.68,4.18,3.68,8.4,28,172,6.1,0,289,53,5.45,68,4.62,1,27:50,2:58,29,41,70.7,217,1,5,19,3,60.7,22,97,4.4,0,75,-100,-25,3
907,ATL,2023-09-10,2023,24,10,111.8,3,4.60,3.90,25:19,46.7,26,32,Sun,1,1,,CAR,W 24-10,24,10,14,34,15,18,3,83.3,91,1,0,5.6,0.0,111.8,4,24,18.18,5.1,4.14,6.17,5.05,6.1,26,130,5.0,2,221,48,4.60,72,3.90,0,25:19,3:06,20,38,52.6,127,1,2,19,2,46.7,32,154,4.8,0,-24,-36,-60,3
908,CAR,2023-09-10,2023,10,24,48.8,-3,3.90,4.60,34:41,106.2,32,26,Sun,1,1,@,ATL,L 10-24,10,24,-14,34,20,38,18,52.6,127,1,2,2.6,5.3,48.8,2,19,5.00,3.3,3.18,1.50,1.43,6.4,32,154,4.8,0,281,72,3.90,48,4.60,3,34:41,3:06,15,18,83.3,91,1,4,24,0,106.2,26,130,5.0,2,24,36,60,-3
909,CHI,2023-09-10,2023,20,38,78.2,-2,4.44,5.48,30:43,122.0,29,32,Sun,1,1,,GNB,L 20-38,20,38,-18,58,24,37,13,64.9,189,1,1,2.7,2.7,78.2,4,27,9.76,5.1,4.61,4.43,4.00,7.9,29,122,4.2,1,311,70,4.44,60,5.48,2,30:43,3:10,15,27,55.6,237,3,1,8,0,122.0,32,92,2.9,1,30,-48,-18,-2
910,GNB,2023-09-10,2023,38,20,123.2,2,5.48,4.44,29:17,75.2,32,29,Sun,1,1,@,CHI,W 38-20,38,20,18,58,15,27,12,55.6,237,3,0,11.1,0.0,123.2,1,8,3.57,8.8,8.46,11.00,10.61,15.8,32,92,2.9,1,329,60,5.48,70,4.44,0,29:17,3:10,24,37,64.9,189,1,4,27,1,75.2,29,122,4.2,1,-30,48,18,2
911,CIN,2023-09-10,2023,3,24,51.0,2,2.63,4.86,24:10,65.9,20,40,Sun,1,1,@,CLE,L 3-24,3,24,-21,27,14,32,18,43.8,67,0,0,0.0,0.0,51.0,2,15,5.88,2.1,1.97,2.09,1.97,4.8,20,75,3.8,0,142,54,2.63,72,4.86,0,24:10,3:03,16,29,55.2,144,1,3,10,1,65.9,40,206,5.2,1,-131,-77,-208,2
912,CLE,2023-09-10,2023,24,3,67.3,-2,4.86,2.63,35:50,51.0,40,20,Sun,1,1,,CIN,W 24-3,24,3,21,27,16,29,13,55.2,144,1,1,3.4,3.4,67.3,3,10,9.38,5.0,4.50,4.10,3.72,9.0,40,206,5.2,1,350,72,4.86,54,2.63,2,35:50,3:03,14,32,43.8,67,0,2,15,0,51.0,20,75,3.8,0,131,77,208,-2
913,IND,2023-09-10,2023,21,31,75.1,-1,4.06,4.96,26:23,103.3,26,35,Sun,1,1,,JAX,L 21-31,21,31,-10,52,24,39,15,61.5,215,1,1,2.6,2.6,75.1,4,8,9.30,5.5,5.00,4.87,4.42,9.0,26,65,2.5,1,280,69,4.06,69,4.96,3,26:23,3:12,24,32,75.0,237,2,2,4,1,103.3,35,105,3.0,2,-40,-22,-62,-1
914,JAX,2023-09-10,2023,31,21,103.8,1,4.96,4.06,33:37,74.2,35,26,Sun,1,1,@,IND,W 31-21,31,21,10,52,24,32,8,75.0,237,2,1,6.3,3.1,103.8,2,4,5.88,7.4,6.97,7.25,6.82,9.9,35,105,3.0,2,342,69,4.96,69,4.06,2,33:37,3:12,24,39,61.5,215,1,4,8,1,74.2,26,65,2.5,1,40,22,62,1
915,DEN,2023-09-10,2023,16,17,108.0,1,4.48,4.75,32:08,107.9,22,29,Sun,1,1,,LVR,L 16-17,16,17,-1,33,27,34,7,79.4,166,2,0,5.9,0.0,108.0,2,11,5.56,4.9,4.61,6.06,5.72,6.1,22,94,4.3,0,260,58,4.48,55,4.75,0,32:08,2:55,20,26,76.9,200,2,0,0,1,107.9,29,61,2.1,0,33,-34,-1,1
916,LVR,2023-09-10,2023,17,16,107.9,-1,4.75,4.48,27:52,106.6,29,22,Sun,1,1,@,DEN,W 17-16,17,16,1,33,20,26,6,76.9,200,2,1,7.7,3.8,107.9,0,0,0.00,7.7,7.69,7.50,7.50,10.0,29,61,2.1,0,261,55,4.75,58,4.48,1,27:52,2:55,27,34,79.4,166,2,2,11,0,106.6,22,94,4.3,0,-33,34,1,-1
917,MIN,2023-09-10,2023,17,20,102.8,-3,5.86,3.56,29:21,93.9,17,33,Sun,1,1,,TAM,L 17-20,17,20,-3,37,33,44,11,75.0,328,2,1,4.5,2.3,102.8,2,16,4.35,7.5,7.13,7.34,7.02,9.9,17,41,2.4,0,369,63,5.86,68,3.56,3,29:21,3:03,21,34,61.8,169,2,1,4,0,93.9,33,73,2.2,0,-32,159,127,-3
918,TAM,2023-09-10,2023,20,17,94.4,3,3.56,5.86,30:39,101.3,33,17,Sun,1,1,@,MIN,W 20-17,20,17,3,37,21,34,13,61.8,169,2,0,5.9,0.0,94.4,1,4,2.86,5.0,4.83,6.15,5.97,8.0,33,73,2.2,0,242,68,3.56,63,5.86,0,30:39,3:03,33,44,75.0,328,2,2,16,1,101.3,17,41,2.4,0,32,-159,-127,3
919,NOR,2023-09-10,2023,16,15,96.1,1,5.48,4.83,28:40,26.7,27,22,Sun,1,1,,TEN,W 16-15,16,15,1,31,23,33,10,69.7,282,1,1,3.0,3.0,96.1,4,23,10.81,8.5,7.62,7.79,6.95,12.3,27,69,2.6,0,351,64,5.48,59,4.83,2,28:40,3:17,16,34,47.1,181,0,3,17,3,26.7,22,104,4.7,0,-35,101,66,1
920,TEN,2023-09-10,2023,15,16,28.8,-1,4.83,5.48,31:20,93.2,22,27,Sun,1,1,@,NOR,L 15-16,15,16,-1,31,16,34,18,47.1,181,0,3,0.0,8.8,28.8,3,17,8.11,5.3,4.89,1.35,1.24,11.3,22,104,4.7,0,285,59,4.83,64,5.48,3,31:20,3:17,23,33,69.7,282,1,4,23,1,93.2,27,69,2.6,0,35,-101,-66,-1
921,NWE,2023-09-10,2023,20,25,91.3,-1,4.90,4.11,29:12,87.2,22,25,Sun,1,1,,PHI,L 20-25,20,25,-5,45,35,54,19,64.8,306,3,1,5.6,1.9,91.3,2,10,3.57,5.7,5.46,5.94,5.73,8.7,22,76,3.5,0,382,78,4.90,61,4.11,2,29:12,3:14,22,33,66.7,154,1,3,16,0,87.2,25,97,3.9,0,-21,152,131,-1
922,PHI,2023-09-10,2023,25,20,89.2,1,4.11,4.90,30:48,90.5,25,22,Sun,1,1,@,NWE,W 25-20,25,20,5,45,22,33,11,66.7,154,1,0,3.0,0.0,89.2,3,16,8.33,4.7,4.28,5.27,4.83,7.0,25,97,3.9,0,251,61,4.11,78,4.90,1,30:48,3:14,35,54,64.8,306,3,2,10,1,90.5,22,76,3.5,0,21,-152,-131,1
923,DAL,2023-09-10,2023,40,0,69.2,3,4.82,2.63,26:32,34.0,30,28,Sun,1,1,@,NYG,W 40-0,40,0,40,40,13,25,12,52.0,143,0,0,0.0,0.0,69.2,0,0,0.00,5.7,5.72,5.72,5.72,11.0,30,122,4.1,3,265,55,4.82,65,2.63,0,26:32,2:55,17,30,56.7,63,0,7,47,2,34.0,28,108,3.9,0,14,80,94,3
924,NYG,2023-09-10,2023,0,40,36.8,-3,2.63,4.82,33:28,69.2,28,30,Sun,1,1,,DAL,L 0-40,0,40,-40,40,17,30,13,56.7,63,0,2,0.0,6.7,36.8,7,47,18.92,2.1,1.70,-0.90,-0.73,3.7,28,108,3.9,0,171,65,2.63,55,4.82,3,33:28,2:55,13,25,52.0,143,0,0,0,0,69.2,30,122,4.1,3,-14,-80,-94,-3
925,PIT,2023-09-10,2023,7,30,68.4,-1,3.92,5.92,22:37,108.8,10,34,Sun,1,1,,SFO,L 7-30,7,30,-23,37,31,46,15,67.4,198,1,2,2.2,4.3,68.4,5,34,9.80,4.3,3.88,2.78,2.51,6.4,10,41,4.1,0,239,61,3.92,66,5.92,2,22:37,3:04,19,29,65.5,203,2,3,17,0,108.8,34,188,5.5,1,-147,-5,-152,-1
926,SFO,2023-09-10,2023,30,7,111.3,1,5.92,3.92,37:23,65.3,34,10,Sun,1,1,@,PIT,W 30-7,30,7,23,37,19,29,10,65.5,203,2,0,6.9,0.0,111.3,3,17,9.38,7.0,6.34,8.38,7.59,10.7,34,188,5.5,1,391,66,5.92,61,3.92,1,37:23,3:04,31,46,67.4,198,1,5,34,2,65.3,10,41,4.1,0,147,5,152,1
927,HOU,2023-09-10,2023,9,25,78.0,1,3.72,4.57,29:05,76.9,23,32,Sun,1,1,@,BAL,L 9-25,9,25,-16,34,28,44,16,63.6,196,0,0,0.0,0.0,78.0,5,46,10.20,4.5,4.00,4.45,4.00,7.0,23,72,3.1,0,268,72,3.72,58,4.57,1,29:05,3:16,17,22,77.3,155,0,4,14,1,76.9,32,110,3.4,3,-38,41,3,1
928,BAL,2023-09-10,2023,25,9,79.5,-1,4.57,3.72,30:55,73.7,32,23,Sun,1,1,,HOU,W 25-9,25,9,16,34,17,22,5,77.3,155,0,1,0.0,4.5,79.5,4,14,15.38,7.0,5.96,5.00,4.23,9.1,32,110,3.4,3,265,58,4.57,72,3.72,2,30:55,3:16,28,44,63.6,196,0,5,46,0,73.7,23,72,3.1,0,38,-41,-3,-1
929,MIA,2023-09-10,2023,36,34,110.0,-2,8.25,5.70,27:19,95.5,20,40,Sun,1,1,@,LAC,W 36-34,36,34,2,70,28,45,17,62.2,466,3,1,6.7,2.2,110.0,0,0,0.00,10.4,10.36,10.69,10.69,16.6,20,70,3.5,1,536,65,8.25,76,5.70,2,27:19,3:13,23,33,69.7,200,1,3,29,0,95.5,40,233,5.8,3,-163,266,103,-2
930,LAC,2023-09-10,2023,34,36,99.2,2,5.70,8.25,32:41,110.0,40,20,Sun,1,1,,MIA,L 34-36,34,36,-2,70,23,33,10,69.7,200,1,0,3.0,0.0,99.2,3,29,8.33,6.1,5.56,6.67,6.11,8.7,40,233,5.8,3,433,76,5.70,65,8.25,0,32:41,3:13,28,45,62.2,466,3,0,0,1,110.0,20,70,3.5,1,163,-266,-103,2
931,LAR,2023-09-10,2023,30,13,91.3,0,5.46,3.91,39:23,81.4,40,18,Sun,1,1,@,SEA,W 30-13,30,13,17,43,24,38,14,63.2,334,0,0,0.0,0.0,91.3,0,0,0.00,8.8,8.79,8.79,8.79,13.9,40,92,2.3,3,426,78,5.46,46,3.91,0,39:23,3:02,16,26,61.5,95,1,2,17,0,81.4,18,85,4.7,0,7,239,246,0
932,SEA,2023-09-10,2023,13,30,84.1,0,3.91,5.46,20:37,91.3,18,40,Sun,1,1,,LAR,L 13-30,13,30,-17,43,16,26,10,61.5,95,1,0,3.8,0.0,84.1,2,17,7.14,3.7,3.39,4.42,4.11,5.9,18,85,4.7,0,180,46,3.91,78,5.46,0,20:37,3:02,24,38,63.2,334,0,0,0,0,91.3,40,92,2.3,3,-7,-239,-246,0
